Name,Price,Store Price,Store Base Price
★ Falchion Knife | Autotronic (Well-Worn),18129,18129,15197
Desert Eagle | Starcade (Minimal Wear),18556,19125,14366
AWP | Containment Breach (Minimal Wear),29784,29784,24549
★ Driver Gloves | Rezan the Red (Battle-Scarred),11765,12734,9247
M4A4 | Hellish (Minimal Wear),12949,13427,9748
★ Bayonet | Freehand (Well-Worn),32333,32333,19376
★ Stiletto Knife | Stained (Battle-Scarred),29838,29838,24486
Desert Eagle | Printstream (Factory New),14342,16104,11045
AK-47 | Cartel (Field-Tested),2864,3183,2158
StatTrak™ AK-47 | Inheritance (Factory New),55419,55419,44399
Desert Eagle | Starcade (Factory New),45364,45364,41332
M4A4 | Desolate Space (Minimal Wear),3952,4146,2900
AWP | Neo-Noir (Factory New),9868,11370,7912
AK-47 | Vulcan (Battle-Scarred),19607,19607,16000
★ StatTrak™ Skeleton Knife | Scorched (Field-Tested),26256,26256,21900
The Elite Mr. Muhlik | Elite Crew,1941,2105,1524
★ Shadow Daggers | Freehand (Minimal Wear),9155,10076,7714
CS:GO Weapon Case,22304,22304,18155
★ Shadow Daggers | Doppler Phase 3 (Factory New),23537,23537,13093
★ Shadow Daggers | Lore (Well-Worn),9270,10623,7665
★ Paracord Knife | Case Hardened (Field-Tested),17165,18825,15140
★ Gut Knife | Gamma Doppler Phase 1 (Factory New),30729,30729,16681
★ Flip Knife | Marble Fade (Minimal Wear),65073,65073,45670
AWP | Hyper Beast (Minimal Wear),9106,10104,7250
M4A1-S | Party Animal (Field-Tested),1653,1792,1177
★ StatTrak™ Paracord Knife | Slaughter (Minimal Wear),31621,31621,24444
★ Bowie Knife | Slaughter (Factory New),41127,44432,35931
M4A1-S | Cyrex (Factory New),36025,36025,28200
Glock-18 | AXIA (Minimal Wear),7593,8143,5710
★ Driver Gloves | Overtake (Well-Worn),9698,11024,7300
★ Falchion Knife | Autotronic (Factory New),31109,31109,23977
★ Flip Knife | Crimson Web (Battle-Scarred),30532,30532,26829
AK-47 | B the Monster (Battle-Scarred),12330,13931,10138
AWP | Atheris (Minimal Wear),1487,1630,1108
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear),31923,31923,24811
★ StatTrak™ Bowie Knife | Tiger Tooth (Factory New),31869,31869,26754
★ Paracord Knife | Night Stripe (Field-Tested),8772,10076,6946
USP-S | Printstream (Well-Worn),6815,7651,5546
AWP | The End (Minimal Wear),5139,5139,3727
M4A4 | Full Throttle (Factory New),38271,38271,30786
★ Classic Knife | Case Hardened (Minimal Wear),30963,30963,24647
★ Specialist Gloves | Buckshot (Well-Worn),8911,9641,8000
★ StatTrak™ Flip Knife | Crimson Web (Field-Tested),38542,38542,32184
★ Flip Knife | Blue Steel (Well-Worn),27600,27600,22278
★ Paracord Knife | Boreal Forest (Field-Tested),8120,8970,6683
M4A4 | Neo-Noir (Minimal Wear),10010,10010,7616
★ Flip Knife | Scorched (Battle-Scarred),20631,20631,16608
AWP | Printstream (Factory New),41984,41984,33277
AK-47 | Nightwish (Minimal Wear),12234,14277,10273
Glock-18 | Shinobu (Minimal Wear),1601,1900,1248
★ Bayonet | Damascus Steel (Well-Worn),32840,32840,38819
★ StatTrak™ Skeleton Knife | Blue Steel (Well-Worn),48345,48345,33718
★ Huntsman Knife | Bright Water (Factory New),13929,16192,11500
M4A4 | Full Throttle (Battle-Scarred),4826,5586,3643
★ Classic Knife | Case Hardened (Battle-Scarred),21379,21379,16323
★ Flip Knife | Blue Steel (Minimal Wear),33239,33239,26260
★ Survival Knife | Boreal Forest (Field-Tested),7801,8636,6216
★ Hydra Gloves | Emerald (Minimal Wear),9690,10104,8000
StatTrak™ M4A4 | 龍王 (Dragon King) (Factory New),18366,18366,14126
★ Flip Knife | Lore (Battle-Scarred),29338,29338,21500
★ Paracord Knife | Blue Steel (Field-Tested),13151,14391,10886
★ Survival Knife | Scorched (Field-Tested),8161,9097,6500
★ Huntsman Knife | Crimson Web (Field-Tested),19193,19193,15969
AK-47 | Neon Revolution (Minimal Wear),20639,20639,16580
USP-S | Jawbreaker (Minimal Wear),1169,1381,925
StatTrak™ M4A4 | Neo-Noir (Field-Tested),7105,7701,5200
Desert Eagle | Midnight Storm (Factory New),35778,35778,27631
★ StatTrak™ Paracord Knife | Fade (Factory New),35363,35363,28000
StatTrak™ AK-47 | Nightwish (Minimal Wear),13828,15341,10967
★ Hydra Gloves | Case Hardened (Battle-Scarred),11083,12911,8756
★ Flip Knife | Boreal Forest (Field-Tested),19682,19682,16442
★ StatTrak™ Survival Knife | Slaughter (Minimal Wear),27511,27511,21000
M4A1-S | Golden Coil (Battle-Scarred),8978,10549,7622
3rd Commando Company | KSK,2144,2267,1738
AK-47 | Neon Revolution (Field-Tested),19636,19636,15194
★ Classic Knife | Crimson Web (Battle-Scarred),25009,25009,23520
★ Bowie Knife | Black Laminate (Battle-Scarred),9600,10636,7920
★ Gut Knife | Ultraviolet (Field-Tested),9813,11081,7878
Sticker | Crown (Foil),68828,68828,49999
★ StatTrak™ Falchion Knife | Freehand (Minimal Wear),19398,19398,14700
★ Bowie Knife | Freehand (Factory New),15668,16678,12329
Seal Team 6 Soldier | NSWC SEAL,1882,2039,1346
★ Flip Knife | Night (Minimal Wear),30425,30425,28315
★ Bayonet | Night (Battle-Scarred),23386,23386,21990
★ Falchion Knife | Autotronic (Battle-Scarred),17214,18652,13942
★ Paracord Knife | Stained (Field-Tested),9819,11318,8036
StatTrak™ AK-47 | Nightwish (Factory New),29551,29551,22613
StatTrak™ AWP | Asiimov (Field-Tested),44734,44734,35451
★ Gut Knife | Bright Water (Field-Tested),9237,10429,7907
★ Survival Knife | Safari Mesh (Field-Tested),7557,8512,6022
★ Falchion Knife | Ultraviolet (Minimal Wear),20026,20026,17246
★ StatTrak™ Falchion Knife | Lore (Minimal Wear),25935,25935,23977
AK-47 | Nouveau Rouge (Well-Worn),1391,1518,990
Desert Eagle | Crimson Web (Field-Tested),2114,2189,1552
★ StatTrak™ M9 Bayonet | Crimson Web (Field-Tested),87767,87767,86586
★ Classic Knife | Blue Steel (Minimal Wear),23271,23271,19540
StatTrak™ AK-47 | Slate (Field-Tested),2602,2960,1925
StatTrak™ USP-S | Printstream (Field-Tested),12053,13528,9316
AK-47 | Nightwish (Factory New),21615,21615,17445
M4A4 | Asiimov (Well-Worn),23283,23283,17668
★ Broken Fang Gloves | Needle Point (Battle-Scarred),8823,10070,6904
★ Kukri Knife | Blue Steel (Battle-Scarred),13825,14953,10500
★ Flip Knife | Boreal Forest (Minimal Wear),20304,20304,17034
★ Flip Knife | Stained (Minimal Wear),23068,23068,20038
Desert Eagle | Kumicho Dragon (Minimal Wear),5346,5901,4021
StatTrak™ AK-47 | Head Shot (Well-Worn),4466,4824,3560
StatTrak™ AWP | Asiimov (Well-Worn),32017,32017,25376
★ Huntsman Knife | Ultraviolet (Minimal Wear),18599,18599,15591
★ Moto Gloves | POW! (Battle-Scarred),10089,11208,8100
StatTrak™ M4A1-S | Player Two (Field-Tested),10674,11495,7994
★ StatTrak™ Bowie Knife | Lore (Field-Tested),19073,19073,13786
StatTrak™ M4A4 | Buzz Kill (Field-Tested),19108,19108,15000
★ Moto Gloves | POW! (Well-Worn),14277,15973,11459
StatTrak™ AK-47 | Legion of Anubis (Minimal Wear),8596,10347,6955
★ StatTrak™ Kukri Knife,19746,19746,14499
★ Gut Knife | Autotronic (Minimal Wear),20844,20844,17176
AK-47 | Blue Laminate (Field-Tested),2769,3038,2047
Elite Trapper Solman | Guerrilla Warfare,6560,7024,4924
StatTrak™ AWP | Man-o'-war (Minimal Wear),21191,21191,18871
AWP | Wildfire (Factory New),35683,35683,28544
★ Broken Fang Gloves | Unhinged (Battle-Scarred),9580,10650,7208
★ Hand Wraps | Desert Shamagh (Battle-Scarred),7913,8805,6159
★ Falchion Knife | Doppler Ruby (Factory New),130968,130968,72781
StatTrak™ M4A1-S | Vaporwave (Factory New),60988,60988,45385
★ Paracord Knife | Safari Mesh (Field-Tested),7528,8620,6129
★ Gut Knife | Rust Coat (Battle-Scarred),8283,9629,6890
★ Flip Knife | Lore (Well-Worn),31628,31628,27918
★ StatTrak™ Bayonet | Urban Masked (Field-Tested),26526,26526,20274
★ Hand Wraps | Constrictor (Well-Worn),8975,9817,7130
Buckshot | NSWC SEAL,1196,1296,883
StatTrak™ AWP | BOOM (Minimal Wear),40516,40516,29066
★ Bayonet | Boreal Forest (Well-Worn),23310,23310,18494
M4A1-S | Party Animal (Factory New),9611,10515,7137
★ Hand Wraps | Giraffe (Battle-Scarred),7947,8896,6387
AK-47 | The Outsiders (Field-Tested),1254,1254,971
★ StatTrak™ Kukri Knife | Case Hardened (Field-Tested),23143,23143,18494
★ Stiletto Knife | Night Stripe (Minimal Wear),28616,28616,25166
★ Gut Knife | Black Laminate (Field-Tested),9818,11030,8199
★ Falchion Knife | Blue Steel (Field-Tested),22511,22511,19202
USP-S | Whiteout (Minimal Wear),25472,25472,19981
★ Ursus Knife | Safari Mesh (Field-Tested),9589,10908,7920
AK-47 | Slate (Factory New),3263,3496,2427
★ StatTrak™ Flip Knife | Ultraviolet (Field-Tested),24916,24916,20552
★ Huntsman Knife | Blue Steel (Minimal Wear),27669,27669,21141
Glock-18 | AXIA (Field-Tested),5840,6449,4542
★ Navaja Knife,7692,8546,5950
StatTrak™ AK-47 | Nightwish (Field-Tested),10395,10395,8448
★ StatTrak™ Huntsman Knife | Marble Fade (Factory New),47471,47471,42797
StatTrak™ M4A1-S | Cyrex (Field-Tested),27781,27781,22000
★ Hand Wraps | Constrictor (Battle-Scarred),8392,10076,7100
★ StatTrak™ Huntsman Knife | Lore (Minimal Wear),24358,24358,22002
★ Falchion Knife | Case Hardened (Minimal Wear),36214,36214,31466
Desert Eagle | Printstream (Well-Worn),6591,7484,5079
StatTrak™ AK-47 | Legion of Anubis (Field-Tested),6566,8176,5056
Desert Eagle | Night Heist (Factory New),31586,31586,23954
★ StatTrak™ Flip Knife | Night (Field-Tested),23767,23767,20413
M4A1-S | Black Lotus (Factory New),2868,3110,2216
AK-47 | Crane Flight (Battle-Scarred),1622,1622,1170
★ StatTrak™ Flip Knife | Freehand (Field-Tested),23824,23824,20704
★ StatTrak™ Falchion Knife | Freehand (Factory New),20892,20892,21257
AK-47 | Redline (Well-Worn),4637,5297,3608
★ Moto Gloves | Finish Line (Well-Worn),15127,16363,12561
AK-47 | Wasteland Rebel (Minimal Wear),18361,18361,13498
★ Flip Knife | Safari Mesh (Battle-Scarred),18817,18817,15159
B Squadron Officer | SAS,1823,1915,1302
★ Kukri Knife | Boreal Forest (Minimal Wear),9256,9256,7400
★ StatTrak™ Bayonet | Black Laminate (Well-Worn),34734,34734,26189
★ StatTrak™ Kukri Knife | Case Hardened (Minimal Wear),28894,28894,23809
★ Ursus Knife | Scorched (Field-Tested),11000,12320,8687
AWP | Fever Dream (Minimal Wear),2601,2896,1991
M4A1-S | Dark Water (Minimal Wear),20677,20677,15969
StatTrak™ AWP | Redline (Minimal Wear),25589,25589,22052
AWP | Containment Breach (Well-Worn),9431,10435,7130
StatTrak™ M4A4 | In Living Color (Field-Tested),5675,6232,4509
StatTrak™ AK-47 | Ice Coaled (Field-Tested),1771,1771,1406
StatTrak™ AWP | Asiimov (Battle-Scarred),24249,24249,21993
★ Bayonet | Bright Water (Battle-Scarred),27993,27993,17455
'Medium Rare' Crasswater | Guerrilla Warfare,5026,5026,3727
★ Stiletto Knife | Blue Steel (Factory New),62181,62181,57772
★ StatTrak™ Ursus Knife | Ultraviolet (Field-Tested),18068,18068,16520
★ Shadow Daggers | Autotronic (Minimal Wear),10197,11453,7994
AK-47 | Cartel (Minimal Wear),3893,4319,3033
★ StatTrak™ Bowie Knife | Lore (Minimal Wear),26127,26127,22500
★ StatTrak™ Bayonet | Night (Field-Tested),30595,30595,17607
1st Lieutenant Farlow | SWAT,1730,1866,1389
AK-47 | Blue Laminate (Minimal Wear),2944,3196,2196
M4A4 | Hellfire (Factory New),91003,91003,79232
MAC-10 | Neon Rider (Minimal Wear),19347,19347,15836
★ Falchion Knife | Forest DDPAT (Field-Tested),10655,11915,8875
★ Bowie Knife | Black Laminate (Minimal Wear),11139,12173,8898
★ StatTrak™ Skeleton Knife | Scorched (Minimal Wear),35091,35091,26450
★ Flip Knife | Forest DDPAT (Well-Worn),19326,19326,19695
★ Bowie Knife | Black Laminate (Well-Worn),5303,10796,7500
StatTrak™ M4A1-S | Black Lotus (Minimal Wear),3961,4463,2938
AK-47 | Frontside Misty (Factory New),24408,24408,19818
★ Ursus Knife | Blue Steel (Minimal Wear),18711,18711,15798
★ Falchion Knife | Safari Mesh (Field-Tested),10397,11341,7994
★ Falchion Knife | Boreal Forest (Field-Tested),10960,12449,8942
★ StatTrak™ Nomad Knife | Boreal Forest (Minimal Wear),20891,20891,19014
StatTrak™ Desert Eagle | Cobalt Disruption (Factory New),33983,33983,31397
Blackwolf | Sabre,1452,1583,1099
USP-S | The Traitor (Minimal Wear),10295,10295,7994
AWP | Green Energy (Factory New),8277,13099,9953
★ Stiletto Knife | Damascus Steel (Battle-Scarred),33861,33861,25710
StatTrak™ AWP | Wildfire (Minimal Wear),27509,27509,20823
★ Hand Wraps | Duct Tape (Well-Worn),9152,10534,7461
★ Gut Knife | Case Hardened (Minimal Wear),22664,22664,18269
★ Classic Knife | Night Stripe (Minimal Wear),17692,17692,15171
★ Bowie Knife | Damascus Steel (Field-Tested),13679,15255,10891
★ Hand Wraps | Arboreal (Well-Worn),8683,9743,6756
AK-47 | Orbit Mk01 (Factory New),27136,27136,19639
★ Bowie Knife | Case Hardened (Field-Tested),27005,27005,21973
AK-47 | Phantom Disruptor (Field-Tested),934,1064,698
M4A1-S | Solitude (Minimal Wear),835,920,612
★ Bayonet | Stained (Battle-Scarred),26093,26093,21948
★ Huntsman Knife | Blue Steel (Field-Tested),22755,22755,18800
AWP | Exothermic (Minimal Wear),1306,1410,1000
Enforcer | Phoenix,1044,1068,786
StatTrak™ MP5-SD | Agent (Field-Tested),224,224,190
Sticker | Astralis (Foil) | Atlanta 2017,17214,17214,16680
"Sticker | w0nderful (Gold, Champion) | Copenhagen 2024",623,707,584
Sticker | w0nderful (Foil) | Austin 2025,14,14,9
Sticker Slab | Cypher (Holo) | Paris 2023,2500,2500,296
Sticker | jks | Shanghai 2024,31,31,17
StatTrak™ M249 | System Lock (Minimal Wear),146,146,131
StatTrak™ MAC-10 | Aloha (Field-Tested),830,830,706
Sticker | Econometer (Lenticular),385,456,382
Sticker Slab | TeSeS (Holo) | Budapest 2025,576,576,312
Sticker | FURIA (Foil) | Stockholm 2021,221,247,149
Souvenir Zeus x27 | Charged Up (Field-Tested),853,853,511
★ Huntsman Knife | Case Hardened (Battle-Scarred),28697,28697,24300
Glock-18 | Catacombs (Battle-Scarred),168,220,112
StatTrak™ Sawed-Off | Fubar (Well-Worn),1015,1015,890
StatTrak™ Glock-18 | Oxide Blaze (Factory New),512,570,336
StatTrak™ SCAR-20 | Cardiac (Minimal Wear),3171,3171,2657
Sticker Slab | GamerLegion (Gold) | Rio 2022,2255,2255,1635
Sticker | adamS (Holo) | Copenhagen 2024,373,380,368
Desert Eagle | Night Heist (Well-Worn),4731,4731,3562
Dual Berettas | Emerald (Factory New),7377,8504,6659
UMP-45 | Crime Scene (Field-Tested),13495,13495,12331
Sticker | Master Guardian Elite,21,21,24
Sticker Slab | stanislaw | Katowice 2019,2500,2500,616
★ Huntsman Knife | Forest DDPAT (Field-Tested),11607,11607,8771
Zeus x27 | Tosai (Factory New),296,334,287
Sticker | Brollan (Holo) | Budapest 2025,38,38,26
Sticker | autimatic | London 2018,137,137,96
★ Specialist Gloves | Tiger Strike (Factory New),210037,210037,108108
P250 | Bullfrog (Field-Tested),21,21,17
AWP | The End (Field-Tested),3011,3211,2143
M4A1-S | Rose Hex (Battle-Scarred),29,29,23
Sticker | aizy | Boston 2018,279,289,208
StatTrak™ AWP | Containment Breach (Minimal Wear),52940,52940,44714
P250 | Iron Clad (Battle-Scarred),61,61,60
Sealed Graffiti | Natus Vincere | Krakow 2017,503,503,394
Sticker | TaZ | Cologne 2015,503,503,512
AWP | Sun in Leo (Factory New),16018,16018,12243
StatTrak™ P90 | Randy Rush (Battle-Scarred),184,184,140
StatTrak™ P2000 | Imperial Dragon (Field-Tested),1750,2014,1322
★ Driver Gloves | Racing Green (Minimal Wear),10598,11081,7798
AWP | Pink DDPAT (Field-Tested),4840,5683,3738
StatTrak™ PP-Bizon | Antique (Well-Worn),1699,1699,1028
Sticker Slab | apEX | Antwerp 2022,2499,2499,98
G3SG1 | Arctic Camo (Field-Tested),7197,7197,3831
AUG | Aristocrat (Battle-Scarred),176,176,153
UMP-45 | Wild Child (Field-Tested),386,726,477
Sticker | ScreaM | Cologne 2015,5455,5455,2100
USP-S | Check Engine (Well-Worn),147,147,115
StatTrak™ Glock-18 | Water Elemental (Well-Worn),4590,4590,3698
USP-S | Lead Conduit (Field-Tested),90,171,143
Sticker | Bad News Eagles (Gold) | Antwerp 2022,306,325,231
Sticker Slab | Senzu (Holo) | Budapest 2025,317,317,195
Sticker Slab | The Awper,540,540,245
Sticker | NQZ (Gold) | Budapest 2025,203,203,187
XM1014 | Canvas Cloud (Factory New),8,8,6
StatTrak™ AUG | Tom Cat (Factory New),230,249,174
★ Ursus Knife | Crimson Web (Field-Tested),23148,23148,19770
StatTrak™ Dual Berettas | Marina (Factory New),10170,11499,7929
Sticker | aizy (Foil) | Atlanta 2017,7640,7640,3115
M4A4 | Turbine (Well-Worn),117,283,177
★ Talon Knife | Urban Masked (Well-Worn),41120,41120,31850
AK-47 | Leet Museo (Factory New),124614,126561,100050
StatTrak™ MP7 | Nemesis (Factory New),5150,5628,4087
★ Talon Knife | Forest DDPAT (Field-Tested),39009,39009,31184
XM1014 | Ziggy (Factory New),603,603,483
Sticker | jkaem (Gold) | London 2018,43157,43157,23176
Sticker Slab | drop | Shanghai 2024,323,323,34254
MP9 | Dart (Well-Worn),260,260,133
Sticker | MOUZ (Foil) | Austin 2025,19,19,11
Sticker Slab | Aeldari 1,2493,2493,2
Sticker Slab | Twistzz | Antwerp 2022,2499,2499,2
Sticker | mopoz (Gold) | Copenhagen 2024,241,241,262
R8 Revolver | Canal Spray (Factory New),5757,5757,2530
★ Broken Fang Gloves | Yellow-banded (Well-Worn),8966,10347,7537
Nova | Clear Polymer (Well-Worn),525,525,440
"StatTrak™ Music Kit | Austin Wintory, Desert Fire",934,996,743
★ Huntsman Knife | Slaughter (Field-Tested),34056,34056,36530
StatTrak™ MP9 | Food Chain (Minimal Wear),2572,2808,1920
StatTrak™ MP5-SD | Gauss (Well-Worn),103,103,80
Galil AR | Akoben (Minimal Wear),93,93,74
StatTrak™ Tec-9 | Ice Cap (Battle-Scarred),101,101,73
Sticker | Hobbit (Foil) | Boston 2018,1195,1195,1012
Sticker | keshandr | Krakow 2017,1815,1815,1257
Sticker | xccurate (Foil) | London 2018,980,980,955
StatTrak™ Glock-18 | Bunsen Burner (Factory New),1663,1663,1255
★ Butterfly Knife | Lore (Battle-Scarred),100946,106487,79847
Sticker | jdm64 | Cologne 2015,2820,2820,783
★ Falchion Knife | Stained (Minimal Wear),17427,19397,14900
StatTrak™ MP7 | Cirrus (Factory New),1361,1361,989
Sticker Slab | Hello MP9 (Gold),4860,4860,2
MP5-SD | Acid Wash (Field-Tested),242,242,176
StatTrak™ Five-SeveN | Hyper Beast (Minimal Wear),57561,57561,40500
Sticker | History (Gold) | Paris 2023,203,203,141
Sticker | Luminosity Gaming | MLG Columbus 2016,3062,3062,2396
Sticker | n1ssim (Holo) | Budapest 2025,374,374,365
Sticker | Complexity Gaming (Gold) | Antwerp 2022,484,547,408
★ StatTrak™ Classic Knife | Fade (Factory New),59177,62094,56355
Negev | Palm (Battle-Scarred),2736,2736,648
Sticker | The Spartan,47,47,36
StatTrak™ PP-Bizon | Fuel Rod (Minimal Wear),686,735,566
Sticker | k0nfig (Holo) | Paris 2023,42,42,32
Souvenir PP-Bizon | Chemical Green (Battle-Scarred),488,488,253
Sticker Slab | EliGE (Holo) | Austin 2025,422,422,230
★ Huntsman Knife | Freehand (Battle-Scarred),13420,13420,9846
★ Talon Knife | Blue Steel (Well-Worn),69077,71689,57916
UMP-45 | Oscillator (Field-Tested),40,40,38
Sticker | nicoodoz (Holo) | Antwerp 2022,149,149,93
★ Specialist Gloves | Crimson Kimono (Minimal Wear),506500,506500,277396
Sticker | Cyber Chicken (Holo),83,83,60
R8 Revolver | Banana Cannon (Minimal Wear),158,158,126
Tec-9 | Jambiya (Field-Tested),145,145,116
★ StatTrak™ Stiletto Knife | Scorched (Battle-Scarred),31656,31656,17090
StatTrak™ M4A1-S | Vaporwave (Battle-Scarred),15360,17191,11726
Five-SeveN | Midnight Paintover (Minimal Wear),16,16,8
Souvenir Desert Eagle | Tilted (Minimal Wear),348,348,198
Sticker | Flash Gaming (Foil) | Boston 2018,12890,12890,10000
StatTrak™ SCAR-20 | Enforcer (Field-Tested),158,232,134
★ Hydra Gloves | Mangrove (Well-Worn),6261,6261,4900
Sticker | felps | Boston 2018,226,268,196
Sticker | v$m (Gold) | Paris 2023,438,438,375
PP-Bizon | Blue Streak (Well-Worn),712,808,421
Sticker | Team Liquid | Stockholm 2021,14,14,8
★ StatTrak™ Classic Knife | Night Stripe (Battle-Scarred),24464,24464,12736
R8 Revolver | Dark Chamber (Field-Tested),6,6,4
Sticker Slab | Joan,2499,2499,89
★ StatTrak™ Paracord Knife | Slaughter (Factory New),39949,39949,26896
Sticker | Golden | Katowice 2019,199,199,155
StatTrak™ FAMAS | Survivor Z (Field-Tested),184,184,131
"Sticker | iM (Gold, Champion) | Copenhagen 2024",368,420,292
StatTrak™ UMP-45 | Wild Child (Factory New),3294,3294,2650
★ Ursus Knife | Stained (Field-Tested),14674,14674,13000
StatTrak™ MP7 | Powercore (Minimal Wear),1030,1383,765
Sticker | Twistzz (Gold) | Austin 2025,1063,1182,1097
P2000 | Urban Hazard (Factory New),459,459,403
StatTrak™ Galil AR | Sugar Rush (Minimal Wear),21871,21871,11862
"Sticker | rain (Holo, Champion) | Antwerp 2022",346,366,266
Masterminds Music Kit Box,730,730,593
Souvenir MAC-10 | Pipsqueak (Minimal Wear),374,374,215
Sticker Slab | electroNic (Gold) | Stockholm 2021,23024,23024,17500
Sticker Slab | Phoenix Reborn,190,190,163
StatTrak™ P250 | Ripple (Well-Worn),76,76,52
Sticker | Ork Waaagh!,32,32,23
StatTrak™ PP-Bizon | Lumen (Field-Tested),184,196,157
Sticker | pashaBiceps | Cologne 2016,2877,2877,1613
Sticker | Techno4K (Gold) | Antwerp 2022,403,403,202
FAMAS | Prime Conspiracy (Minimal Wear),13732,15772,10604
★ StatTrak™ Butterfly Knife | Black Laminate (Field-Tested),127686,130950,92000
Patch | Rage,739,739,613
Sticker Slab | apEX (Gold) | Austin 2025,3196,3196,2
Sticker Slab | LUCAS1 (Foil) | Berlin 2019,3709,3709,549
StatTrak™ Negev | Power Loader (Battle-Scarred),346,346,269
Sticker | Twistzz (Glitter) | Antwerp 2022,37,37,25
Sticker Slab | Inquisition,3709,3709,2
Sticker | Team Liquid (Holo) | Antwerp 2022,554,1081,922
Sticker | tarik | Cologne 2016,8607,8607,3672
★ Bowie Knife | Freehand (Battle-Scarred),12054,12054,10502
StatTrak™ P90 | Desert Warfare (Minimal Wear),843,843,503
USP-S | Bleeding Edge (Minimal Wear),657,657,484
StatTrak™ Five-SeveN | Violent Daimyo (Factory New),753,808,540
★ StatTrak™ Talon Knife | Rust Coat (Well-Worn),74830,74830,35058
AWP | Duality (Minimal Wear),957,1134,760
StatTrak™ G3SG1 | Demeter (Minimal Wear),1208,1872,916
Sticker | Team LDLC.com | DreamHack 2014,8742,8742,7399
★ Bloodhound Gloves | Bronzed (Field-Tested),50402,52613,41095
"Sticker | zont1x (Gold, Champion) | Shanghai 2024",528,576,454
Sticker | Pink Jaggyfish,278,289,248
M4A1-S | Stratosphere (Field-Tested),933,933,705
Sticker Slab | TeSeS (Glitter) | Antwerp 2022,2499,2499,73
★ StatTrak™ Bowie Knife | Ultraviolet (Field-Tested),14224,14224,12788
Sticker Slab | hades (Foil) | Austin 2025,2470,2470,2
StatTrak™ M4A4 | 龍王 (Dragon King) (Well-Worn),11455,11455,5791
StatTrak™ SSG 08 | Necropos (Battle-Scarred),129,129,103
Sticker | Nice Shot,292,292,241
SSG 08 | Calligrafaux (Factory New),281,317,207
★ Butterfly Knife | Blue Steel (Minimal Wear),171206,171206,148357
Sticker | Forester (Gold) | Berlin 2019,5757,5757,5000
Souvenir AK-47 | Green Laminate (Minimal Wear),3743,3743,2427
Sticker | T Rush (Holo),245,245,185
Sticker | Fnatic (Foil) | Katowice 2015,21012,21012,12653
★ Flip Knife | Black Laminate (Minimal Wear),25145,27487,21303
Five-SeveN | Midnight Paintover (Battle-Scarred),7,7,6
StatTrak™ AUG | Stymphalian (Factory New),2287,2592,1887
Dual Berettas | Marina (Field-Tested),1125,1239,904
StatTrak™ M249 | Aztec (Factory New),791,791,600
"StatTrak™ Music Kit | Killer Mike, MICHAEL",4131,4233,3047
Desert Eagle | Ocean Drive (Factory New),69287,71894,56975
★ Bowie Knife | Forest DDPAT (Battle-Scarred),10325,13798,7903
Desert Eagle | Code Red (Factory New),35969,35969,33650
Souvenir AWP | Dragon Lore (Factory New),2503854,2503854,1298351
M4A1-S | Leaded Glass (Minimal Wear),1781,2054,1407
Sticker Slab | EliGE (Foil) | Katowice 2019,1440,1440,3577
Sticker | Ethan (Gold) | Katowice 2019,35171,35171,19066
★ Nomad Knife | Boreal Forest (Battle-Scarred),14202,15831,12026
StatTrak™ Nova | Ranger (Field-Tested),77,77,59
P90 | Freight (Factory New),160,160,130
StatTrak™ Tec-9 | Bamboozle (Well-Worn),342,363,204
★ Shadow Daggers | Damascus Steel (Minimal Wear),8906,8906,7423
Sticker | Luminosity Gaming (Holo) | MLG Columbus 2016,16325,16325,11940
Glock-18 | Pink DDPAT (Well-Worn),3270,3270,1989
★ Nomad Knife | Fade (Minimal Wear),59598,59598,45557
Rio 2022 Overpass Souvenir Package,865,870,663
StatTrak™ P2000 | Wicked Sick (Well-Worn),481,568,397
"Sticker | Aleksib (Holo, Champion) | Copenhagen 2024",145,145,111
FAMAS | Half Sleeve (Battle-Scarred),8,8,8
StatTrak™ Sawed-Off | Highwayman (Factory New),2447,2447,1600
StatTrak™ Nova | Antique (Field-Tested),3092,3092,1829
Operation Hydra Access Pass,4512,4512,3363
Souvenir Glock-18 | Ramese's Reach (Factory New),25285,25285,19719
StatTrak™ XM1014 | Entombed (Factory New),1663,1663,1313
P250 | Apep's Curse (Minimal Wear),16078,17271,14181
Dual Berettas | Shred (Well-Worn),59,59,40
Sticker | NiKo (Glitter) | Paris 2023,63,63,48
Souvenir Dual Berettas | Briar (Minimal Wear),445,445,307
★ Skeleton Knife | Boreal Forest (Minimal Wear),23906,23906,18558
StatTrak™ Tec-9 | Decimator (Minimal Wear),14894,14894,11871
StatTrak™ M249 | Hypnosis (Battle-Scarred),33,33,25
M4A4 | Cyber Security (Factory New),33415,33415,25675
AK-47 | Jungle Spray (Battle-Scarred),1286,1697,955
Souvenir XM1014 | Bone Machine (Field-Tested),2158,2155,1369
Sticker | tiziaN | London 2018,198,258,110
StatTrak™ Sawed-Off | Orange DDPAT (Well-Worn),5470,5470,2340
USP-S | Royal Guard (Factory New),1507,1507,1073
Sticker Slab | adamS (Holo) | Copenhagen 2024,19154,19154,10383
Sticker | electronic (Foil) | Boston 2018,1872,1872,1133
M4A1-S | Blue Phosphor (Minimal Wear),141009,141009,153697
M249 | Spectre (Battle-Scarred),62,62,49
